ONOMATOPEE300_001 めがちかちかするのだがなにかのびょうきだろうか
ONOMATOPEE300_002 わたしのてすとのせいせきのわるさにははがかんかんにいかっています
ONOMATOPEE300_003 はじめてかれとあったときそのなにげないしぐさにわたしはめろめろになってしまったんだとこくはくした
ONOMATOPEE300_004 はじめてたかいやまへのとざんにちゃれんじしてみたのだがちょうじょうにつくごろにはへとへとでけしきをみるどころではなかった
ONOMATOPEE300_005 うそがばれそうになりひやあせがたらっとたれた
ONOMATOPEE300_006 むこうにみえるよぼよぼのおじいさんはわかいごろはそれはゆうめいなぱいろっとだったらしいですよ
ONOMATOPEE300_007 あのわいどしょのこめんてたはずばずばものをいう
ONOMATOPEE300_008 そのうちあいつにぎゃふんといわせてみたい
ONOMATOPEE300_009 かばんにいれていたあめがとけだしねちょねちょになったのであらわないといけないのです
ONOMATOPEE300_010 なにがたのしいのかおいっこがごみはこのふたをかぱかぱひらけしめしてあそんでいる
ONOMATOPEE300_011 このちむにはせんしゅたちをぐいぐいとひっぱっていくりだがひつようだ
ONOMATOPEE300_012 さいふからひゃくえんだまがおっことしてどぶにちゃぷんとしんかってしまった
ONOMATOPEE300_013 めざましがなかったのでしかたがなくむくりとおきようとしたらにどねしていたといいわけをした
ONOMATOPEE300_014 こんにちはかいせいだからとさんぽにでかけたのにおりかえしあたりでぽつりとあめがふってきてしまった
ONOMATOPEE300_015 ほうちょうでやさいをみじんきりしているときにきってしまったゆびがずきんずきんする
ONOMATOPEE300_016 えらそうなにんがどっかりとすわっていたのでほかのひとたちはかれがだれなのかをしりたがっていた
ONOMATOPEE300_017 ひりひりいたむきずぐちをみながらどうしてこうなってしまったのだろうとじぶんのうんめいをのろいました
ONOMATOPEE300_018 たいしょくいじまんのゆうじんがばかすかおおもりりょうりをたべているがかんはまでのじかんをかんがえるとしょうきんはむりだろう
ONOMATOPEE300_019 あいけんをしつこくつんつんつきまわしているといかられた
ONOMATOPEE300_020 らいばるせんしゅがぜんこくたいかいのけっしょうまでかちあがってきたのでめらめらととうしをもやしている
ONOMATOPEE300_021 わたしがふだんあまりしゃべらないのにくわしくしゃべりだしてしまったのでゆうじんはぽかんとしてしまった
ONOMATOPEE300_022 こんねんもおおくのしんじんがにゅうしゃしてきたがなかでもえくんはうけこたえがはきはきしていてとてもこうかんがもてる
ONOMATOPEE300_023 このおいつめられたじょうきょうかではかのきんちょうかんがとなりにいてもひしひしとつたわってきた
ONOMATOPEE300_024 こどものごろちかくのいえにいるいぬのめがぎょろっとしていてぼくはこわくてこわくてしかたがなかった
ONOMATOPEE300_025 かれはわたしのかおをみたしゅんかんにたいどががらっとかわったのでなにかあやしいとちょっかんですぐにかんじました
ONOMATOPEE300_026 ずっとがまんしていたせいなのかじわりとずぼんがよごれてしまったようなきがしてこわかった
ONOMATOPEE300_027 たかいがけのうえからうみのなかにざぶんととびこんだ
ONOMATOPEE300_028 ほうかごのきょうしつでかれしのものをあいおしそうにぺろぺろなめているところをもくげきしてしまった
ONOMATOPEE300_029 たちつくしていたおおおとこはこねこのくびねっこをむんずとつかむとそのままふところにいれてあるいていった
ONOMATOPEE300_030 びたまをいたのうえからころころところがしてあそんだ
ONOMATOPEE300_031 ずとんというじゅうせいがひびいてそれがじぶんにあたったのだとにんしきするまでにすうびょうかかってしまった
ONOMATOPEE300_032 だいいちしぼうのごうかくはっぴょうをみるときはどきどきしました
ONOMATOPEE300_033 ひっしにべんきょうしてうけたしかくしけんのじゅけんけっかつうちがいっったふうとうをどきどきしながらふるえるてでひらける
ONOMATOPEE300_034 あやまっておとしたたまごはとこでぐしゃりとつぶれてしまった
ONOMATOPEE300_035 そんなにばっとをぶんぶんふりまわしたらぼるになかなかあたらないのでもっとこんぱくとにふる
ONOMATOPEE300_036 ははがだいどころでゆうはんのかれをぐつぐつとにこみんでいる
ONOMATOPEE300_037 ひざしがぎらぎらのなかをのこのこでかけていったけれどとちゅうでからだがだるくなってひきかえしてしまった
ONOMATOPEE300_038 がっこういちのいけめんのえがおにきゅんきゅんする
ONOMATOPEE300_039 あかちゃんのほっぺはぷっくりしてとてもやわらかい
ONOMATOPEE300_040 いやなよかんでむねがざわざわしてねむれなかった
ONOMATOPEE300_041 ずぽっとぬかるみにあしがはまってしまいみうごきがとれなくなった
ONOMATOPEE300_042 ふるいいえなのでたてつけがわるくなっているのかとびらをひらけるとかなりおおきなおとでぎっとなる
ONOMATOPEE300_043 ごくさむのやまのげざんをおえたたいいんたちにふるまわれたしょくじはほっかほかのおにぎりとあっつあつのおでんであった
ONOMATOPEE300_044 しけんにごうかくしたからといってうかうかしてはいられません
ONOMATOPEE300_045 かふんしょうがひどくてはなみずがずるずるととまらない
ONOMATOPEE300_046 ふらいぱんでいためものをしてすこしはなれているとたまねぎがかりかりになった
ONOMATOPEE300_047 しごとちゅうすとれすをかんじていがきりきりした
ONOMATOPEE300_048 はじめてろかるせんにのってみたらごっとんごっとんとここちよいしんどうがありおもわずねてしまった
ONOMATOPEE300_049 ちいさいべんとうばこにごめしがぎっしりつまっている
ONOMATOPEE300_050 きょうからはじまったてれびどらまはじつにほのぼのとしたないようでついたちのつかれがいやされていくようです
ONOMATOPEE300_051 たまにふくすずしいなつのかぜにふうりんもうれしそうにちりんとなった
ONOMATOPEE300_052 にわをほっていたらこぜにがざくざくとでてきた
ONOMATOPEE300_053 きんちょうしてがちがちにかたまってしまってうまくうたえなかった
ONOMATOPEE300_054 はじめてうのさんしょうをかったのではりきってつくだにをつくったところがどうしたことかぴりっとするどころかびりびりする
ONOMATOPEE300_055 あしただいじなかいぎがいっっているというのにどうりょうからのみにさそわれるとほいほいついていってしまう
ONOMATOPEE300_056 でんぱのいりがわるいのからじおからはざざとしたのいずだけがきこえている
ONOMATOPEE300_057 しゃんしゃんとすずのおとをならしながらくうちゅうをそりでいどうするさんたくろすをぼくはみたんだ
ONOMATOPEE300_058 るんるんしたきもちですきっぷしていたらぶつかった
ONOMATOPEE300_059 けっこうおおきいじしんでしょっきだなやつくえのじょうのものがかたかたとゆれている
ONOMATOPEE300_060 あさになってとなりのいえのにわとりがこけこっことないたのでめがさめてしまった
ONOMATOPEE300_061 とくとくとおとをたてながらおさけがそそがれる
ONOMATOPEE300_062 ははにささいなうそをついたがかのじょのえいすぎるかんにはぎっくりさせられてひやあせまでかいた
ONOMATOPEE300_063 はじめておとずれたくにでとてもめずらしいちいさないしをみつけたのでわたしはそれをまじまじとみつめた
ONOMATOPEE300_064 おみせにげいのうじんがあらわれたのでじょせいたちがきゃきゃさわぎだした
ONOMATOPEE300_065 たけやぶをのぞくとにしきへびがにょろっとでてきた
ONOMATOPEE300_066 かったくつのさいずがおおきくてぶかぶかだったのでちょうどあうさいずのくつとこうかんしてもらった
ONOMATOPEE300_067 れっしゃががたんごとんとたんちょうなりずむではしっていた
ONOMATOPEE300_068 みずがたれないようにぬらしたぞうきんをぎゅっぎゅっとしぼった
ONOMATOPEE300_069 こくはくしてふられたしゅんかんがんとしょっくをうけた
ONOMATOPEE300_070 おきんをかせぐためにばいとをつかけもちしあさからばんまではたらきつづけてへろへろになる
ONOMATOPEE300_071 にひゃっきろおばのすぴどでがどれるにおもいきりぶつかったのでくるまはぺちゃんこになった
ONOMATOPEE300_072 そぼはなにかにいかっているのかきゅうにたちあがりじしつへむかいぴしゃりとこをしめました
ONOMATOPEE300_073 あまりにもふとりすぎていてそのにんのおはらはぼっこりとしているのでみんなにふられていた
ONOMATOPEE300_074 りょかんにいるとほどなくしてじょしょうがしずしずとすがたをあらわした
ONOMATOPEE300_075 かのじょはぐちょぐちょにぬれたふくをせんたくきにいれた
ONOMATOPEE300_076 あのばしょのちかくにだけなにやらこんもりとしたもりつちがしてある
ONOMATOPEE300_077 おおあめでうらにわのがけがくずれていえのなかにおおきないわがずどんとおちてきていえはこわれてしまった
ONOMATOPEE300_078 へいてんせるのためかおきゃくがどやどやとおしかけている
ONOMATOPEE300_079 そのあおじろいかおをしたおとこはなにかにおびえているようでぶるぶるとふるえてくちもきけないじょうたいでした
ONOMATOPEE300_080 きにいらないことがあったのかぶつぶつともんくをいっっていたかれをわれわれはむししてさきをいそぎました
ONOMATOPEE300_081 あたらしいひげそりはきれあじもよくしょりしょりとはだをすべっている
ONOMATOPEE300_082 びちにはなつのたいようがさんさんとてりつけていました
ONOMATOPEE300_083 じゅぎょうちゅうだったがせんせいのじゅぎょうがつまらなかったのでせいとははなしばかりできょうしつはがやがやしていた
