COUNTERSUFFIX26_01 ひとつふたつみつよついつつむつななつやつここのつとおいくつ
COUNTERSUFFIX26_02 いっこにこさんこしこごころくこななこはちこきゅうこじゅうこなんこ
COUNTERSUFFIX26_03 いちまいにまいさんまいよんまいごまいろくまいしちまいはちまいきゅうまいじゅうまいなんまい
COUNTERSUFFIX26_04 いっぽんにほんさんぼんよんほんごほんろっぽんしちほんはちほんきゅうほんじゅうほんなんぼん
COUNTERSUFFIX26_05 いっさつにさつさんさつしさつごさつろくさつしちさつはちさつきゅうさつじゅうさつなんさつ
COUNTERSUFFIX26_06 いちだいにだいさんだいよんだいごだいろくだいしちだいはちだいきゅうだいじゅうだいなんだい
COUNTERSUFFIX26_07 いっぱいにはいさんばいしはいごはいろくはいしちはいはちはいきゅうはいじゅうはいなんばい
COUNTERSUFFIX26_08 ひとりふたりさんにんよにんごにんろくにんしちにんはちにんきゅうにんじゅうにんなんにん
COUNTERSUFFIX26_09 いっぴきにひきさんびきよんひきごひきろっぴきななひきはっぴききゅうひきじゅっぴきなんびき
COUNTERSUFFIX26_10 いっかいにかいさんかいよんかいごかいろくかいしちかいはちかいきゅうかいじゅっかいなんかい
COUNTERSUFFIX26_11 いっかいにかいさんかいしかいごかいろくかいしちかいはちかいきゅうかいじゅうかいなんかい
COUNTERSUFFIX26_12 いちえんにえんさんえんしえんごえんろくえんしちえんはちえんきゅうえんじゅうえんなんえん
COUNTERSUFFIX26_13 いっさいにとしさんとししとしごさいろくとししちとしはちとしきゅうとしじゅうとしなんさい
COUNTERSUFFIX26_14 いちばんにばんさんばんしばんごばんろくばんしちばんはちばんきゅうばんじゅうばんなんばん
COUNTERSUFFIX26_15 いっぱくにはくさんぱくしはくごはくろくはくしちはくはちはくきゅうはくじゅうはくなんはく
COUNTERSUFFIX26_16 いっぴょうにひょうさんひょうしひょうごひょうろくひょうしちひょうはちひょうきゅうひょうじゅうひょうなんひょう
COUNTERSUFFIX26_17 いっぱつにはつさんはつしはつごはつろくはつしちはつはちはつきゅうはつじゅうはつなんぱつ
COUNTERSUFFIX26_18 いっぴんにひんみしなしひんごひんろくひんしちひんはちひんきゅうひんじゅうひんなんぴん
COUNTERSUFFIX26_19 ひとつぶにつぶさんつぶしつぶごつぶろくつぶしちつぶはちつぶきゅうつぶじゅうつぶなにつぶ
COUNTERSUFFIX26_20 いっくにくさんくしくごくろくくしちくはちくきゅうくじゅうくなにく
COUNTERSUFFIX26_21 いちいにいさんいよんいごいろくくらいなないはちくらいきゅうくらいじゅういなんい
COUNTERSUFFIX26_22 いっせきにせきさんせきしせきごせきろくせきしちせきはちせききゅうせきじゅうせきなにせき
COUNTERSUFFIX26_23 いちびょうにびょうさんびょうしびょうごびょうろくびょうしちびょうはちびょうきゅうびょうじゅうびょうなんびょう
COUNTERSUFFIX26_24 いちぶにぶんさんぷんよんぶんごぶろくふんしちぶはちぶくぶじゅうぶんなんぷん
COUNTERSUFFIX26_25 いちじにじさんじよじごじろくじしちじはちじくじじゅうじなんじ
COUNTERSUFFIX26_26 いちじかんにじかんさんじかんよじかんごじかんろくじかんしちじかんはちじかんくじかんじゅうじかんなんじかん
