TRAVEL1000_0001 あなたのにもつはろさんぜるすにのこっています
TRAVEL1000_0002 つぎのしゅうまつはつごうがわるいのです
TRAVEL1000_0003 せぶんすたをにかとんください
TRAVEL1000_0004 このきぼりのにんぎょうはいかがですか
TRAVEL1000_0005 どのしゃとるばすにのるべきでしょうか
TRAVEL1000_0006 ごごにあいにきてくださいますか
TRAVEL1000_0007 ぼるはなげてもよいしもってはしってもよいのです
TRAVEL1000_0008 それらがもどったときにかならずぱすぽとにほっちきすでとめてください
TRAVEL1000_0009 きんようびのよるななときにてにすことをよやくできますか
TRAVEL1000_0010 こちらいちまるいちごうしつですがせんたくさびすをおねがいします
TRAVEL1000_0011 はいしばらくおまちください
TRAVEL1000_0012 めにゅをもういちどみせていただけますか
TRAVEL1000_0013 くうこうはひじょうにひろいのでひこうきののりかえもばあいによってはたいへんです
TRAVEL1000_0014 このたてもののなかではさつえいはできません
TRAVEL1000_0015 きゃんせるすればぜんがくもどりますか
TRAVEL1000_0016 これらのすうじをだいあるします
TRAVEL1000_0017 しちときのもにんぐこるをきゃんせるしたいのですが
TRAVEL1000_0018 とらべらずちぇっくをげんきんにしたいのですが
TRAVEL1000_0019 ばっぐをずじょうのにもつたなにいれてください
TRAVEL1000_0020 きんようびにゆうしょくにおこしくださいますか
TRAVEL1000_0021 もういちどこれをごうけいしていただけますか
TRAVEL1000_0022 どうもごしんせつにありがとうございます
TRAVEL1000_0023 わからないことがあればじぶんでかいけつしようとせずにせっきょくてきにたずねましょう
TRAVEL1000_0024 これはわたしのちゅうもんしたものとはちがいますが
TRAVEL1000_0025 ふつうでんわですかしめいでんわですか
TRAVEL1000_0026 そこにはひじょうにじゅうようなことがかかれていますから
TRAVEL1000_0027 よくじつはいたつのうけつけしめきりじかんはなんじですか
TRAVEL1000_0028 びざかどでしはらわれますかげんきんでしはらわれますか
TRAVEL1000_0029 つあのりょうきんはほしょうされていますか
TRAVEL1000_0030 にっぽんのだいがくでしゅとくしたえいごのたんいもかんさんできますか
TRAVEL1000_0031 どうかちずをえがいていただけますか
TRAVEL1000_0032 けいかくをたててよやくをしよいふくそうでしょくじにいきます
