BASIC5000_0001 みずをまれしあからかわなくてはならないのです
BASIC5000_0002 もくようびていせんかいだんはなんのしんてんもないまましゅうりょうしました
BASIC5000_0003 じょういんぎいんはわたしがでたをゆがめたとこくはつした
BASIC5000_0004 いっしゅうかんしてそのにゅすはほんとうになった
BASIC5000_0005 けつあつはけんこうのぱろめたとしてじゅうようである
BASIC5000_0006 しゅうにしかいふらんすのじゅぎょうがあります
BASIC5000_0007 きょかしょがなければここへはいれない
BASIC5000_0008 おおごえでなきながらおんなのこはははおやをさがしていた
BASIC5000_0009 むざいのひとびとはもちろんほうめんされた
BASIC5000_0010 まっきしけんにそなえてほんとうにきあいをいれてべんきょうしなきゃ
BASIC5000_0011 きそかわはしばしばにっぽんのらいんかわとよばれている
BASIC5000_0012 おぼれかかっていたじょうきゃくはすべてきゅうじょされた
BASIC5000_0013 ちゅうしんぶにあるのでしょうてんやおふぃすにいくのにべんりです
BASIC5000_0014 ざんこくということはかのせいしつにはないことだ
BASIC5000_0015 ていえんのまわりにぐるりとたかいへいがたっている
BASIC5000_0016 しゅっせいりつとしぼうりつはほぼひとしかった
BASIC5000_0017 ぜったいにそのすいっちにさわってはいけない
BASIC5000_0018 へやをでるときにはあかりをけしなさい
BASIC5000_0019 しぇくすぴあのさくひんはとてもむずかしくてよめない
BASIC5000_0020 むかしむかしひとりのろうじんがすんでいた
BASIC5000_0021 ひろうやらうえやらでかれはめげんをかんじた
BASIC5000_0022 むしろろんけのほうがはげやすいってきいたぞ
BASIC5000_0023 むこうにたっているおんなのこはめありです
BASIC5000_0024 しすてぃなれいはいどうはせんよんひゃくななじゅうさんねんにばてぃかんきゅうでんないにこんりゅうされたそうだいなれいはいどうです
BASIC5000_0025 てにすにもあるけどよんだいたいかいってなに
BASIC5000_0026 さくりゃくはいふくをひつようとするがしんじつははだかであることをこのむ
BASIC5000_0027 こいこひよりうすいこひのほうがすきです
BASIC5000_0028 がいこうかんにはさまざまなとっけんがあたえられている
BASIC5000_0029 さしきずはとてもふかくかんせんのおそれがないかけんさするひつようがある
BASIC5000_0030 がいじんがにほんしょくになれることはむずかしい
BASIC5000_0031 ごのふるいいみがげんざいのきほんてきないみであるとはかぎらない
BASIC5000_0032 はりがねはでんきをつたえるのにもちいられる
BASIC5000_0033 らいげつのかぶきざのだしものはなんですか
BASIC5000_0034 あっしゅくしたふぁいるをてんぷでおくってください
BASIC5000_0035 ようしたんれいずのうめいせつうんどうしんけいばつぐんいえはかねもちでついでにがくせいかいのふくかいちょうをしてたりもするいわゆるぱふぇくとなやつだ
BASIC5000_0036 にゅういんかんじゃはいしゃにますいをちゅうしゃされてすぐにねむりにおちた
BASIC5000_0037 はためはちめということばがあるようにいちどきょうかいからはなれてにっぽんさっかをみていただきたい
BASIC5000_0038 ぎょうぎのわるさはかのりょうしきをうたがわせるものだ
BASIC5000_0039 ぶちょうのつごうがわるくなってしまったのでのみかいのにっていはしきりなおしだね
BASIC5000_0040 へびをみたときかれはひめいをあげた
BASIC5000_0041 しがいせんはひふがんをひきおこすことがある
BASIC5000_0042 きがつくとにげばはどこにもなかった
BASIC5000_0043 さんばんめのそしてもっともじゅうようなかんがえはさいいっということである
BASIC5000_0044 きぼうやゆめのおもいはぜったいにみつからない
BASIC5000_0045 ぜんぽうにあるあのさいんがよめますか
BASIC5000_0046 きまずいちんもくののちびるはかのじょのてをとってじょうのかいへひっぱっていった
BASIC5000_0047 こうざんろうどうしゃがちんあげをようきゅうしてすとにとつにゅうした
BASIC5000_0048 きのよわいおとこがびじょをえたためしがない
BASIC5000_0049 きまえのよいそのしかいはおよそにじゅうおくえんをじぜんじぎょうにきふした
BASIC5000_0050 きにいろうがいるまいがくんはいかねばならない
BASIC5000_0051 みにすかとがもういちどふっかつするとおもいますか
BASIC5000_0052 けいかくをたてることとそれをじっこうすることはべつもんだいです
BASIC5000_0053 みであむれあにしてぽてとをひとつつけてください
BASIC5000_0054 げんこうとこぴはよういにみわけがつく
BASIC5000_0055 みつばちはにおいのさんぷるをすにもちかえることによってしょくりょうのありかをつたえる
BASIC5000_0056 みっくはそのこどもをりちゃどとなづけた
BASIC5000_0057 みみずをふむとあめがふるというにんがいる
BASIC5000_0058 よしおはせいかくはははおやにようぼうはちちおやににている
BASIC5000_0059 めいわくをおかけしてもうしわけありません
BASIC5000_0060 みろのびなすがかんぜんであったときにはぞうにはうでもついていた
BASIC5000_0061 みるとんのさくひんをよんだことがありますか
BASIC5000_0062 みらせんせいはあなたにしばらくまってもらいたいとおもっています
BASIC5000_0063 みゅじかるはみなかったのですか
BASIC5000_0064 くさばなについてもっとしりたいとおもいました
BASIC5000_0065 ひょうたんからこまっていうのかなちじんのしょうかいでしゅうしょくきまっちゃったんだよ
BASIC5000_0066 どろだらけのあしでいまをどたどたあるいてはいけない
