LOANWORD128_001 とつぜんのことにぱにくってにげだしてしまった
LOANWORD128_002 あのにんはあじるばかりでじぶんのいけんをのべることはない
LOANWORD128_003 かれはわたしにじぶんのみりょくをあぴるしてきたけれどたいぷではなかったのできづかないふりをした
LOANWORD128_004 わからないことはとりあえずすまとふぉんでうぃきる
LOANWORD128_005 ゆうじんのいえでひさびさにういいれをしたらしんけんにがちってしまった
LOANWORD128_006 あきじかんがあるのでよていのじかんまでじかんつぶしのためかふぇった
LOANWORD128_007 ゆうじんはおんなのこがにがてでおんなのことはなしをするときょどってしまう
LOANWORD128_008 ちゅうもんしたおぼえのないたくはいびんがとどいたのでうけとりをきょひった
LOANWORD128_009 しつこくくだらないしつもんをしてきたのでぐぐれといっった
LOANWORD128_010 ゆうじんとこんどのれんきゅうのりょこうについてはなしあうためにふぁみれすにいったがかんけいのないはなしにはながさいてしまいぐだってしまった
LOANWORD128_011 かれしがいるのはしっているがおもいきってこくるつもりだ
LOANWORD128_012 ようちえんじのまごがかえったのちはへやのなかがごちゃってる
LOANWORD128_013 ぱそこんでつくったぶんしょうをこぴっておきよびとしてとっておく
LOANWORD128_014 よやくしていたへやがいめじとちがっていてまんまとさぎられた
LOANWORD128_015 だいがくのじゅぎょうにでるのがめんどうになったのでじゅぎょうをさぼった
LOANWORD128_016 こどものけんかでかんけいないのにおやがしゃしゃってくる
LOANWORD128_017 こんにちはばんどなかまとすたじおでいちにちじゅうじゃむった
LOANWORD128_018 たからくじをこうにゅうしたがぜんぜんあたらずみごとにすかった
LOANWORD128_019 ゆうじんをおどろかすためにそうじようぐはこのなかにかくれてすたんばる
LOANWORD128_020 おめあてのものがなかなかこないためべつのだいたいひんでだきょることにした
LOANWORD128_021 もうやくそくのじかんにまにあわないのでたくることにしましょう
LOANWORD128_022 べんきょうしてなかったからてすとぜんぜんとけなくてたひった
LOANWORD128_023 だぶるのをおそれてじたくにあるこみっくのかんすうをしらべてからほんやでかった
LOANWORD128_024 だいたんにいこうとおもったがりすくをかんがえすぎてちきった
LOANWORD128_025 すこしくらいのみすででぃするのはりかいできない
LOANWORD128_026 すこしまえのおんなのこはみんなけいたいでんわをでこっていた
LOANWORD128_027 ゆうじんにじゅうねんぶりにあったらすこしでぶっていた
LOANWORD128_028 おおぜいのまえできゅうにしめいされはつげんをもとめられたじぶんはてんぱってしまいれいせいにはつげんできなかった
LOANWORD128_029 ここできしかいせいのほむらんをうったらまちがいなくかれはどやるでしょう
LOANWORD128_030 しごとでとらぶってしまいざんぎょうするはめになった
