kaneko_normal_001 ぼくはゆかいになってはんどるをちからいっぱいまわした
kaneko_normal_002 ていおんこうあつがたへんせいがんではけっしょうへんがんとしてへんりめんがけいせいされることがおおい
kaneko_normal_003 このがんせきはいっぱんにほるんふぇるすとよばれる
kaneko_normal_004 とくにこうおんであるほどへんせいさようのそくどはじょうしょうする
kaneko_normal_005 おんどどはおんれいのどあいをあらわすしひょうである
kaneko_normal_006 げんじてんでひへいこうじょうたいでのおんどのていぎはほんらいのいみでていぎできないこともありとじょうだんかいである
kaneko_normal_007 にこられおなるさでぃかるのはねつきかんのこうりつにはねつげんとれいばいのあいだのおんどさによってきまるじょうげんがあることをはっけんした
kaneko_normal_008 きたいぶんしのそくどのぶんぷはまくすうぇるぶんぷにしたがいこのぶんぷかんすうのけいじょうはおんどにいぞんしている
kaneko_normal_009 つうじょうはちかくのひかくてきあさいぶぶんでおこるげんしょうのことをさすばあいがおおくあつりょくがひくくおんどのたかいじょうけんかであんていなこうぶつがけいせいされる
kaneko_normal_010 こういきへんせいさようについてはそのおんどあつりょくじょうけんとりわけおんどあつりょくこうばいによりぶんるいがおこなわれる
kaneko_normal_011 しずみこむぷれとおよびそれにひきずられてしんぶにもぐったがんせきがふたたびじょうしょうしてきたものであるとかんがえられる
kaneko_normal_012 どうとうがしゃかいみんしゅとうにごうりゅうしたあとにはどうとうのかくしんじんえいのしどうしゃとなった
kaneko_normal_013 こみんてるんにさんかしていたいたりあしゃかいとうのせんきゅうひゃくにじゅういちねんはじめのりゔぉるのかいぎにしゅっせき
kaneko_normal_014 しんぽしゅぎとはいみてきにかさなるぶぶんがおおいためあまりげんみつなくべつがなされずどうぎごとしてこんようされることもおおい
kaneko_normal_015 さよくからのてんこうぐみのなかからこっかしゃかいしゅぎしそうをもつぐるぷがあらわれた
kaneko_normal_016 いくつかのじちたいではざいせいはたんにつながるじょうきょうになったことでかくしんじちたいのけいぞくがこんなんになっていった
kaneko_normal_017 しゃかいみんしゅとうをだっとうしてせんきゅうひゃくじゅうろくねんからろざるくせんぶるくとともにすぱるたくすだんをそしきしかくめいうんどうをしどうした
kaneko_normal_018 じっさいにはぎゆうぐんりだのゔぁるでまるぱぷすとによりしょけいされたことがあきらかとなっている
kaneko_normal_019 しかしさよくきょくうおるどじゆうしゅぎみどりのほしゅしゅぎなどもしゃかいほしょうやかくさぜせいをしゅちょうしている
kaneko_normal_020 あめりかのみんしゅとうはちゅうどうさはだがせんそうさんかもこうていしておりりべらるとよばれることがおおい
kaneko_normal_021 そうしたかんきょうのもとであやこはつよいせいぎかんとどくりつしんをもつじょせいとしてそだった
kaneko_normal_022 おっとはこうだいなぼくじょうのとちをもつゆうのうなじつぎょうかであった
kaneko_normal_023 のちにきょうせいかいかいちょうとなるくぶしろおちみらとともにえんだんにたちねつえんでおおくのちょうしゅうをひきつけた
kaneko_normal_024 きゅうせいぐんのぐんきちとひはすくいときよめをいみしきゅうせいぐんのもっとでもある
kaneko_normal_025 おうすけのちちはきんぞうはははみきもしくはうらともいいきゅうせいはいしの
kaneko_normal_026 にせんじゅうろくねんののうぎょうさんしゅつがくはさんぜんひゃくごじゅうよんおくえんでぜんこくはちい
kaneko_normal_027 あいちけんないにはよんじゅういちまちにひゃくごじゅうよんのだしまつりよんひゃくじゅうはちのだしがそんざいしている
kaneko_normal_028 あたらしくなるということはなんというだいじぎょうでしょう
kaneko_normal_029 しゃかいとげいじゅつのぜんえいたりうるのではないでしょうか
kaneko_normal_030 あとにじゅうのあらわしたいというきもちがそのきゃっかんてきにがめんにおしだされきらないくうきのなかにただよっているかんじでした
kaneko_normal_031 ふたりのてきとてきはながいあいだにらみあっていた
kaneko_normal_032 どちらもえんこんにもえてにてっぽうをもっていた
kaneko_normal_033 れっかのようにもえていたぞうおのほのおがだんだんきえてゆくのをかんじた
kaneko_normal_034 やけのこっためりんすのふとんのうえにちゃんとあしをのばしていた
kaneko_normal_035 ぜんりょうなるしみんたるとどうじにゆうかんなるじけいだんのいちいんたるぼくはきくちのためにおしまざるをえない
kaneko_normal_036 げいじゅつはせいかつのかじょうだそうである
kaneko_normal_037 われわれはこのれきしてきからくりにつかれそしてにんげんのじんせいのただしいすがたをうしなったのである
kaneko_normal_038 にんげんのまたじんせいのただしいすがたとはなんぞや
kaneko_normal_039 だらくすべきときにはまっとうにまっさかさまにおちねばならぬ
kaneko_normal_040 にんげんをかくということしゃかいてきれきしてきにんげんをかくということはえでもしょうせつでもおおしごとだとおもいました
kaneko_normal_041 ぎじゅつてきにはようちにちがいなくてもなにかじんせいのじっかんにふれたところがあってこころひかれました
kaneko_normal_042 よんだあとでみみをすましてへんじをまった
kaneko_normal_043 なんまんなんおくのだらくものはつねにてんごくにいたりえずむなしくじごくをひとりさまようにしてもこのみちがてんごくにつうじているということにかわりはない
kaneko_normal_044 かれによるとげんしてきなにんげんはぶらくとぶらくでたいりつしていた
kaneko_normal_045 せかいじんとなりばんみんこくせきのくべつなどうしなうのがただしいというろんである
kaneko_normal_046 むしろぶんかのすすむにつれてこのたいりつははげしくなるばかりなのである
kaneko_normal_047 やがてそれをまとめていっさつのほんにしたらということになった
kaneko_normal_048 あっというまにこんどはえいきゅうにゆうじょうをたっていってしまった
kaneko_normal_049 ぼくはこれをきくとおもわずぎふんのちのわきたつのをおぼえた
kaneko_normal_050 だがばくはしたらきみもぼくもこっぱみじんになってしまうじゃないか
